district,at_large,first_name,last_name,gender,ethnicity,date_of_birth,entered_office,term_end,title,party,email,phone,address,twitter_url,facebook_url,photo_url
Ward 19,no,Matthew,O'Shea,male,white-american,,2011-05-16,2019-05-20,alderman,democrat,ward19@cityofchicago.org,773-238-8766,"10400 S. Western Ave., Chicago, IL 60643",https://twitter.com/mattoshea19,,https://www.google.com/imgres?imgurl=http%3A%2F%2Fmedia.nbcchicago.com%2Fimages%2F1200*675%2FMatt%2BO%27Shea%2B0634%2B(2).JPG&imgrefurl=http%3A%2F%2Fwww.nbcchicago.com%2Fnews%2Fpolitics%2FChicago-City-Council-Matt-OShea-133621533.html&docid=WfO3iZDdcDUPkM&tbnid=o2PacArPXIwuUM%3A&vet=1&w=1200&h=675&bih=631&biw=1366&q=alderman%20matt%20o%27shea&ved=0ahUKEwi6ycbzo-PRAhWD8oMKHcV7DswQMwgcKAAwAA&iact=mrc&uact=8
Ward 20,no,Willie B,Cochran,male,african-american,,2007-05-21,2019-05-20,alderman,democrat,ward20@cityofchicago.org,773-955-5610,"6357 S. Cottage Grove, Chicago, IL 60637",https://twitter.com/ALDERMANWBC,https://www.facebook.com/Willie-B-Cochran-Alderman-20th-Ward-of-Chicago-157989437581995,https://www.cityofchicago.org/content/dam/city/about/wards/20/aldward20.jpg
Ward 21,no,Howard,Brookins Jr,male,african-american,,2003-05-05,2019-05-20,alderman,democrat,ward21@cityofchicago.org,773-881-9300,"9011 S. Ashland, Unit B, Chicago, IL 60620",https://twitter.com/AldHBrookinsJr,https://www.facebook.com/Alderman-Howard-B-Brookins-Jr-185596881463969/,https://www.cityofchicago.org/content/dam/city/about/wards/21/aldward21.jpg
Ward 22,no,Ricardo,Munoz,male,hispanic-american,,1993-01-12,2019-05-20,alderman,democrat,ward22@cityofchicago.org,773-762-1771,"2500 S. St Louis Ave., Chicago, IL 60623",https://twitter.com/AldermanMunoz22,https://www.facebook.com/rick.munoz.77,https://www.cityofchicago.org/content/dam/city/about/wards/22/aldward22.jpg
Ward 23,no,Michael,Zalewski,male,white-american,1954-07-26,1995-05-01,2019-05-20,alderman,democrat,ward23@cityofchicago.org,773-582-4444,"6247 S. Archer Ave., Chicago, IL 60638",,https://www.facebook.com/profile.php?id=100008240641595&lst=1194953029%3A100008240641595%3A1485566307,https://www.cityofchicago.org/content/dam/city/about/wards/23/aldward23.jpg
Ward 24,no,Michael,Scott Jr.,male,african-american,,2015-05-18,2019-05-20,alderman,democrat,ward24@cityofchicago.org,773-533-2400,"1158 S. Keeler Ave., Chicago, IL 60624",https://twitter.com/aldermanscott24,https://www.facebook.com/CitizensForScott,https://scontent.ford1-1.fna.fbcdn.net/v/t1.0-0/c331.0.200.200/p200x200/10645177_514319128671680_8284706019238530898_n.jpg?oh=567735c60a3b45a92c800ec5ff6eabdb&oe=59088331
Ward 25,no,Daniel,Solis,male,hispanic-american,,1996-03-06,2019-05-20,alderman,democrat,ward25@cityofchicago.org,773-523-4100,"1645 South Blue Island Ave., Chicago, IL 60608",https://twitter.com/AldermanSolis,https://www.facebook.com/pages/Alderman-Danny-Solis/115955051822096,https://www.cityofchicago.org/content/dam/city/about/wards/25/aldward25.jpg
Ward 26,no,Roberto,Maldonado,male,hispanic-american,,2009-07-29,2019-05-20,alderman,democrat,ward26@cityofchicago.org,773-395-0143,"2511 W. Division St., Chicago, IL 60622",https://twitter.com/MaldonadoR26,https://www.facebook.com/AldermanRobertoMaldonado,https://www.cityofchicago.org/content/dam/city/about/wards/26/aldward26.jpg
Ward 27,no,Walter,"Burnett, Jr.",male,african-american,,1995-05-01,2019-05-20,alderman,democrat,ward27@cityofchicago.org,312-432-1995,"4 N. Western Ave., Unit 1C, Chicago, IL 60612",https://twitter.com/aldermanburnett,https://facebook.com/aldermanburnett,https://www.cityofchicago.org/content/dam/city/about/wards/27/aldburnett.jpg
Ward 28,no,Jason,Ervin,male,african-american,,2011-01-13,2019-05-20,alderman,democrat,ward28@cityofchicago.org,773-533-0900,"2602 W. 16th St., Chicago, IL 60612",https://twitter.com/AldermanErvin,https://www.facebook.com/Office-of-Alderman-Jason-C-Ervin-102847719807198,https://pbs.twimg.com/profile_images/1344570304/Jason_head_shot_400x400.png
Ward 29,no,Chris,Taliaferro,male,african-american,,2015-05-18,2019-05-20,alderman,democrat,ward29@cityofchicago.org,773-237-6460,"6272 W. North Ave., Chicago, IL 60639",,https://www.facebook.com/Chris-Taliaferro-29th-Ward-Alderman-290830767754459/,https://scontent.ford1-1.fna.fbcdn.net/v/t1.0-1/c24.0.200.200/p200x200/10516643_291041237733412_5907083330035139155_n.jpg?oh=4fd22cc3b4fd5ce71e1fa37c685e8b39&oe=590D9403
Ward 30,no,Ariel E,Reboyras,male,hispanic-american,,2003-05-07,2019-05-20,alderman,democrat,ward30@cityofchicago.org,773-794-3095,"3559 N. Milwaukee Ave., Chicago, IL 60641",https://twitter.com/Ald_Reboyras,https://www.facebook.com/Citizens-for-Ariel-E-Reboyras-130153183715717,http://30thwardchicago.com/wp-content/uploads/2012/01/arielreboyra30thwardalderman-mainpic.jpg
Ward 31,no,Milly,Santiago,female,hispanic-american,,2015-05-18,2019-05-20,alderman,democrat,ward31@cityofchicago.org,773-278-0031,"2521 N. Pulaski Rd., Chicago, IL 60639",https://twitter.com/millysantiago31,https://www.facebook.com/milly31ward/,https://scontent.ford1-1.fna.fbcdn.net/v/t1.0-0/c0.4.200.200/p200x200/10612760_1483023358647281_4100746495318092305_n.jpg?oh=23a484306fc107bcd8b6cb39f4c2d821&oe=5915DB9A
Ward 32,no,Scott,Waguespack,male,white-american,1970-06-23,2007-05-21,2019-05-20,alderman,democrat,ward32@cityofchicago.org,773-248-1330,"2657 N. Clybourn, Chicago, IL 60614",https://twitter.com/ward32chicago,http://www.facebook.com/pages/Scott-Waguespack-Alderman/244183964983,https://www.cityofchicago.org/content/dam/city/about/wards/32/aldward32.jpg
Ward 33,no,Deborah,Mell,female,white-american,,2013-07-24,2019-05-20,alderman,democrat,ward33@cityofchicago.org,773-478-8040,"3001 W. Irving Park Road, Chicago, IL 60618",https://twitter.com/33rdWard,https://www.facebook.com/33rdWardDeb,https://www.cityofchicago.org/content/dam/city/about/wards/33/aldward33.jpg
Ward 34,no,Carrie,Austin,female,african-american,,1994-08-03,2019-05-20,alderman,democrat,ward34@cityofchicago.org,773-928-6961,"507 W. 111th St., Chicago, IL 60628",https://twitter.com/tweetinin34,https://www.facebook.com/34ward,https://www.cityofchicago.org/content/dam/city/about/wards/34/aldward34.png
Ward 35,no,Carlos,Ramirez-Rosa,male,hispanic-american,1989-02-18,2015-05-18,2019-05-20,alderman,democrat,ward35@cityofchicago.org,773-887-3772,"2710 N. Sawyer, Chicago, IL 60647",https://twitter.com/CDRosa,https://www.facebook.com/carlosforchicago,https://d3n8a8pro7vhmx.cloudfront.net/carlosrosa/pages/144/attachments/original/1431925075/Carlos_Ramirez-Rosa.jpg?1431925075
Ward 36,no,Gilbert,Villegas,male,hispanic-american,,2015-05-18,2019-05-20,alderman,democrat,ward36@cityofchicago.org,773-745-4636,"6934 W. Diversey Ave., Chicago, IL 60607",https://twitter.com/gilbert36ward,https://www.facebook.com/Villegasfor36Ward,https://d3n8a8pro7vhmx.cloudfront.net/gilbertvillegas/pages/1/attachments/original/1436870790/alderman.png?1436870790
Ward 37,no,Emma,Mitts,female,african-american,1955-06-12,2000-01-12,2019-05-20,alderman,democrat,ward37@cityofchicago.org,773-379-0960,"4924 W. Chicago Ave., Chicago, IL 60651",https://twitter.com/EmmaMittsAld37,https://www.facebook.com/EmmaMittsAld37,https://www.cityofchicago.org/content/dam/city/about/wards/37/aldward37.jpg
Ward 38,no,Nicholas,Sposato,male,white-american,,2011-05-16,2019-05-20,alderman,democrat,ward38@cityofchicago.org,773-283-3838,"3821 N. Harlem Ave., Chicago, IL 60634",https://twitter.com/AldSposato,https://www.facebook.com/nick.sposato.3,http://aldermansposato.com/images/nick%20head%20shot%202014-u107.png
Ward 39,no,Margaret,Laurino,female,white-american,1952-06-17,1994-08-03,2019-05-20,alderman,democrat,ward39@cityofchicago.org,773-736-5594,"4404 West Lawrence Ave., Chicago, IL 60630",https://twitter.com/LaurinoWard39,,https://www.cityofchicago.org/content/dam/city/about/wards/39/aldward39.jpg
Ward 40,no,Patrick J,O'Connor,male,white-american,,1983-04-29,2019-05-20,alderman,democrat,ward40@cityofchicago.org,773-769-1140,"5850 N. Lincoln Ave., Chicago, IL 60659",https://twitter.com/40thWard,https://www.facebook.com/AldermanPatrickOConnor,http://www.aldermanoconnor.com/wp-content/uploads/2016/01/adpat.jpg
Ward 41,no,Anthony,Napolitano,male,white-american,,2015-05-18,2019-05-20,alderman,democrat,ward41@cityofchicago.org,773-631-2241,"7442 N. Harlem Ave., Chicago, IL 60631",https://twitter.com/aldnapolitano41,http://www.facebook.com/chicago41,"https://static.wixstatic.com/media/fbd82e_0865a82d06d94ead95d73bb7b4cb4da7.jpg/v1/fill/w_134,h_199,al_c,q_80,usm_0.66_1.00_0.01/fbd82e_0865a82d06d94ead95d73bb7b4cb4da7.webp"
Ward 42,no,Brendan,Reilly,male,white-american,,2007-05-21,2019-05-20,alderman,republican,ward42@cityofchicago.org,312-642-4242,"325 W. Huron St., Suite 510, Chicago, IL 60654",https://twitter.com/AldReilly,https://www.facebook.com/aldermanreilly/,https://www.cityofchicago.org/content/dam/city/about/wards/42/aldward42.jpg
Ward 43,no,Michele,Smith,female,white-american,1955-02-12,2011-05-16,2019-05-20,alderman,democrat,ward43@cityofchicago.org,773-348-9500,"2523 N. Halsted St., Chicago, IL 60614",https://twitter.com/aldermansmith43,http://www.facebook.com/pages/Alderman-Michele-Smith/217071734994965,https://pbs.twimg.com/profile_images/1486353591/michele_cropped_150dpi_400x400.jpg
Ward 44,no,Thomas M,Tunney,male,white-american,1955-08-22,2003-01-16,2019-05-20,alderman,democrat,ward44@cityofchicago.org,773-525-6034,"3223 North Sheffield Ave., Chicago, IL 60657",https://twitter.com/AldTomTunney,http://www.facebook.com/pages/Tom-Tunney/22081816828,https://www.cityofchicago.org/content/dam/city/about/wards/44/aldward44.jpg
Ward 45,no,John,Arena,male,white-american,,2011-05-16,2019-05-20,alderman,democrat,ward45@cityofchicago.org,773-286-4545,"4754 N. Milwaukee Ave., Chicago, IL 60630",,https://www.facebook.com/JohnArenaChicago/,http://ward45.org/wp-content/uploads/JohnArena_Portrait_FB.jpg
Ward 46,no,James,Cappleman,male,white-american,1952-10-26,2011-05-16,2019-05-20,alderman,democrat,ward46@cityofchicago.org,773-878-4646,"4544 N. Broadway, Chicago, IL 60640",https://twitter.com/JamesCappleman,https://www.facebook.com/james.cappleman,https://scontent.ford1-1.fna.fbcdn.net/v/t1.0-1/p160x160/12366385_10153876755392376_7292208132574925150_n.jpg?oh=b6d7e4f81ed15b4d5119fce29a89a16f&oe=591B0DEB
Ward 47,no,Ameya,Pawar,male,asian-american,1980-04-22,2011-05-16,2019-05-20,alderman,democrat,ward47@cityofchicago.org,773-868-4747,"4243 N. Lincoln Ave., Chicago, IL 60618",https://twitter.com/Alderman_Pawar,http://www.facebook.com/pages/Alderman-Ameya-Pawar/157050574354851,https://www.cityofchicago.org/content/dam/city/about/wards/47/aldward47.jpg
Ward 48,no,Harry,Osterman,male,white-american,,2011-05-16,2019-05-20,alderman,democrat,ward48@cityofchicago.org,773-784-5277,"5533 N. Broadway Ave., Chicago, IL 60640",https://twitter.com/48ward,https://www.facebook.com/48thward/,https://pbs.twimg.com/profile_images/1514537204/ProfilePicture_400x400.jpg
Ward 49,no,Joseph A,Moore,male,white-american,1958-07-22,1991-05-06,2019-05-20,alderman,democrat,ward49@cityofchicago.org,773-338-5796,"7356 N. Greenview Ave., Chicago, IL 60626",https://twitter.com/joemoore49,https://www.facebook.com/joemoore49,https://www.cityofchicago.org/content/dam/city/about/wards/49/aldward49.jpg
Ward 50,no,Debra,Silverstin,female,white-american,,2011-05-16,2019-05-20,alderman,democrat,ward50@cityofchicago.org,773-262-1050,"2949 W. Devon Ave., Chicago, IL 60659",https://twitter.com/Debra4Alderman,http://www.facebook.com/pages/Debra-Silverstein/160422620641872,https://pbs.twimg.com/profile_images/567409895247331330/5R5-yZoN_400x400.jpeg
